"Measure_code","Topic","Measure","Chart_title","Measure_short","Polarity","y_axis_name","state_funded_flag","Table_status","Description","Last Update","Next Update","Data Owner (DO) /Supplier and Contact Details","Methodology","Hyperlink(s)","dps","Year_Type","No_Quartile"
"381","Foundation Stage","Foundation Stage - % Achieving Good Level of Development - FSM","Children achieving good level of development in EYFS - Eligible for FSM (%)","FSP_Gooddev_FSM","High","% achieving expected level","State Funded","1_eyfsp_headline_measures_2022_2023.csv","The Early Years Foundation Stage Profile (EYFSP) is a teacher assessments of children’s development at the end of the early years foundation stage (EYFS), specifically the end of the academic year in which a child turns 5. This is typically the summer term of reception year. The assessment framework, or EYFS Profile, consists of 17 early learning goals (ELGs) across 7 areas of learning.

The statutory EYFS framework sets the standards and requirements that all early years providers must follow to ensure all children have the best start in life and are prepared for school. It requires that children be assessed against the EYFS Profile in the summer term of the academic year in which they turn 5.

The EYFS Profile is intended to provide an accurate representation of each child’s development at the end of the EYFS to support their transition into year 1. It is made up of an assessment of the child’s outcomes in relation to 17 early learning goals (ELGs) across 7 areas of learning.

The 3 prime areas of learning are: communication and language; personal, social and emotional development; and physical development. These prime areas are particularly important for children’s healthy development and are the basis for successful learning in the other 4 specific areas of learning: literacy; mathematics; understanding the world; and expressive arts and design.

The EYFS reforms were introduced in September 2021. As part of those reforms, the EYFS Profile was significantly revised. It is therefore not possible to directly compare assessment outcomes since 2021/22 with earlier years.","45597","45962","DfE","Number and percentage of children having a good level of development:  This is a count and percentage of children who were at the expected level for all 12 ELGs within the 5 areas of learning relating to: communication and language; personal, social and emotional development; physical development; literacy; and mathematics.
","https://explore-education-statistics.service.gov.uk/find-statistics/early-years-foundation-stage-profile-results",NA,"Academic Year",NA
"381","Foundation Stage","Foundation Stage - % Achieving Good Level of Development - Non FSM","Children achieving good level of development in EYFS - Non FSM (%)","FSP_Gooddev_FSM_Other","High","% achieving expected level","State Funded","1_eyfsp_headline_measures_2022_2023.csv","The Early Years Foundation Stage Profile (EYFSP) is a teacher assessments of children’s development at the end of the early years foundation stage (EYFS), specifically the end of the academic year in which a child turns 5. This is typically the summer term of reception year. The assessment framework, or EYFS Profile, consists of 17 early learning goals (ELGs) across 7 areas of learning.

The statutory EYFS framework sets the standards and requirements that all early years providers must follow to ensure all children have the best start in life and are prepared for school. It requires that children be assessed against the EYFS Profile in the summer term of the academic year in which they turn 5.

The EYFS Profile is intended to provide an accurate representation of each child’s development at the end of the EYFS to support their transition into year 1. It is made up of an assessment of the child’s outcomes in relation to 17 early learning goals (ELGs) across 7 areas of learning.

The 3 prime areas of learning are: communication and language; personal, social and emotional development; and physical development. These prime areas are particularly important for children’s healthy development and are the basis for successful learning in the other 4 specific areas of learning: literacy; mathematics; understanding the world; and expressive arts and design.

The EYFS reforms were introduced in September 2021. As part of those reforms, the EYFS Profile was significantly revised. It is therefore not possible to directly compare assessment outcomes since 2021/22 with earlier years.","45597","45962","DfE","Number and percentage of children having a good level of development:  This is a count and percentage of children who were at the expected level for all 12 ELGs within the 5 areas of learning relating to: communication and language; personal, social and emotional development; physical development; literacy; and mathematics.
","https://explore-education-statistics.service.gov.uk/find-statistics/early-years-foundation-stage-profile-results",NA,"Academic Year",NA
"381","Foundation Stage","Foundation Stage - % Good level of Development SEN without Statement/EHCP","Good level of development achieved - Pupils with SEN, without EHCP (%)","FSP_Gooddev_Without_SENSTATE","High","% achieving expected level","State Funded","1_eyfsp_headline_measures_2022_2023.csv","The Early Years Foundation Stage Profile (EYFSP) is a teacher assessments of children’s development at the end of the early years foundation stage (EYFS), specifically the end of the academic year in which a child turns 5. This is typically the summer term of reception year. The assessment framework, or EYFS Profile, consists of 17 early learning goals (ELGs) across 7 areas of learning.

The statutory EYFS framework sets the standards and requirements that all early years providers must follow to ensure all children have the best start in life and are prepared for school. It requires that children be assessed against the EYFS Profile in the summer term of the academic year in which they turn 5.

The EYFS Profile is intended to provide an accurate representation of each child’s development at the end of the EYFS to support their transition into year 1. It is made up of an assessment of the child’s outcomes in relation to 17 early learning goals (ELGs) across 7 areas of learning.

The 3 prime areas of learning are: communication and language; personal, social and emotional development; and physical development. These prime areas are particularly important for children’s healthy development and are the basis for successful learning in the other 4 specific areas of learning: literacy; mathematics; understanding the world; and expressive arts and design.

The EYFS reforms were introduced in September 2021. As part of those reforms, the EYFS Profile was significantly revised. It is therefore not possible to directly compare assessment outcomes since 2021/22 with earlier years.","45597","45962","DfE","Number and percentage of children having a good level of development:  This is a count and percentage of children who were at the expected level for all 12 ELGs within the 5 areas of learning relating to: communication and language; personal, social and emotional development; physical development; literacy; and mathematics.
","https://explore-education-statistics.service.gov.uk/find-statistics/early-years-foundation-stage-profile-results",NA,"Academic Year",NA
"381","Foundation Stage","Foundation Stage - % Good level of Development SEN with Statement/EHCP","% Good level of development achieved - Pupils with EHCP (%)","FSP_Gooddev_With_SENSTATE","High","% achieving expected level","State Funded","1_eyfsp_headline_measures_2022_2023.csv","The Early Years Foundation Stage Profile (EYFSP) is a teacher assessments of children’s development at the end of the early years foundation stage (EYFS), specifically the end of the academic year in which a child turns 5. This is typically the summer term of reception year. The assessment framework, or EYFS Profile, consists of 17 early learning goals (ELGs) across 7 areas of learning.

The statutory EYFS framework sets the standards and requirements that all early years providers must follow to ensure all children have the best start in life and are prepared for school. It requires that children be assessed against the EYFS Profile in the summer term of the academic year in which they turn 5.

The EYFS Profile is intended to provide an accurate representation of each child’s development at the end of the EYFS to support their transition into year 1. It is made up of an assessment of the child’s outcomes in relation to 17 early learning goals (ELGs) across 7 areas of learning.

The 3 prime areas of learning are: communication and language; personal, social and emotional development; and physical development. These prime areas are particularly important for children’s healthy development and are the basis for successful learning in the other 4 specific areas of learning: literacy; mathematics; understanding the world; and expressive arts and design.

The EYFS reforms were introduced in September 2021. As part of those reforms, the EYFS Profile was significantly revised. It is therefore not possible to directly compare assessment outcomes since 2021/22 with earlier years.","45597","45962","DfE","Number and percentage of children having a good level of development:  This is a count and percentage of children who were at the expected level for all 12 ELGs within the 5 areas of learning relating to: communication and language; personal, social and emotional development; physical development; literacy; and mathematics.
","https://explore-education-statistics.service.gov.uk/find-statistics/early-years-foundation-stage-profile-results",NA,"Academic Year",NA
"347","Key Stage 1 and Phonics","Key Stage 1 Reading Expected Standard","Pupils achieving Key Stage 1 Reading Expected Standard (%)","KS1R_Expected_STD","High","% achieving expected level","State Funded",NA,"Teacher assessment judgments in English reading, English writing, mathematics and science are reported for each pupil at the end of key stage 1 (typically aged 7). Teacher assessments are based on a broad range of evidence from across the curriculum and knowledge of how a pupil has performed over time and in a variety of contexts. Pupils are required to take tests in English and mathematics at the end of key stage 1, however teacher assessments is the only data used in school performance accountability at the end of KS1. New key stage 1 assessments were introduced in 2016 to assess the new, more challenging national curriculum and the expected standard was raised. As a result, figures from 2016 onwards are not comparable to earlier years","45200","Discontinued","DfE","The new expected standards were designed to be broadly similar but are not equivalent to an old level 2b. The performance descriptors, used by teachers in the standard setting process, were developed with an understanding of the performance of pupils working at level 2b. However, given the curricula differences, there is not a direct equivalence between the new expected standard and level 2b in previous years.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-1-and-phonics-screening-check-attainment",NA,"Academic Year",NA
"347","Key Stage 1 and Phonics","Key Stage 1 Reading Greater Depth","Pupils achieving Key Stage 1 Reading Greater Depth (%)","KS1R_Greater_Depth","High","% achieving expected level","State Funded",NA,"Teacher assessment judgments in English reading, English writing, mathematics and science are reported for each pupil at the end of key stage 1 (typically aged 7). Teacher assessments are based on a broad range of evidence from across the curriculum and knowledge of how a pupil has performed over time and in a variety of contexts. Pupils are required to take tests in English and mathematics at the end of key stage 1, however teacher assessments is the only data used in school performance accountability at the end of KS1. New key stage 1 assessments were introduced in 2016 to assess the new, more challenging national curriculum and the expected standard was raised. As a result, figures from 2016 onwards are not comparable to earlier years","45200","Discontinued","DfE","The new expected standards were designed to be broadly similar but are not equivalent to an old level 2b. The performance descriptors, used by teachers in the standard setting process, were developed with an understanding of the performance of pupils working at level 2b. However, given the curricula differences, there is not a direct equivalence between the new expected standard and level 2b in previous years.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-1-and-phonics-screening-check-attainment",NA,"Academic Year",NA
"347","Key Stage 1 and Phonics","Key Stage 1 Writing Expected Standard","Pupils achieving Key Stage 1 Writing Expected Standard (%)","KS1W_Expected _STD","High","% achieving expected level","State Funded",NA,"Teacher assessment judgments in English reading, English writing, mathematics and science are reported for each pupil at the end of key stage 1 (typically aged 7). Teacher assessments are based on a broad range of evidence from across the curriculum and knowledge of how a pupil has performed over time and in a variety of contexts. Pupils are required to take tests in English and mathematics at the end of key stage 1, however teacher assessments is the only data used in school performance accountability at the end of KS1. New key stage 1 assessments were introduced in 2016 to assess the new, more challenging national curriculum and the expected standard was raised. As a result, figures from 2016 onwards are not comparable to earlier years","45200","Discontinued","DfE","The new expected standards were designed to be broadly similar but are not equivalent to an old level 2b. The performance descriptors, used by teachers in the standard setting process, were developed with an understanding of the performance of pupils working at level 2b. However, given the curricula differences, there is not a direct equivalence between the new expected standard and level 2b in previous years.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-1-and-phonics-screening-check-attainment",NA,"Academic Year",NA
"347","Key Stage 1 and Phonics","Key Stage 1 Writing Greater Depth","Pupils achieving Key Stage 1 Writing Greater Depth (%)","KS1W_Greater_Depth","High","% achieving expected level","State Funded",NA,"Teacher assessment judgments in English reading, English writing, mathematics and science are reported for each pupil at the end of key stage 1 (typically aged 7). Teacher assessments are based on a broad range of evidence from across the curriculum and knowledge of how a pupil has performed over time and in a variety of contexts. Pupils are required to take tests in English and mathematics at the end of key stage 1, however teacher assessments is the only data used in school performance accountability at the end of KS1. New key stage 1 assessments were introduced in 2016 to assess the new, more challenging national curriculum and the expected standard was raised. As a result, figures from 2016 onwards are not comparable to earlier years","45200","Discontinued","DfE","The new expected standards were designed to be broadly similar but are not equivalent to an old level 2b. The performance descriptors, used by teachers in the standard setting process, were developed with an understanding of the performance of pupils working at level 2b. However, given the curricula differences, there is not a direct equivalence between the new expected standard and level 2b in previous years.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-1-and-phonics-screening-check-attainment",NA,"Academic Year",NA
"347","Key Stage 1 and Phonics","Key Stage 1 Maths Expected Standard","Pupils achieving Key Stage 1 Maths Expected Standard (%)","KS1M_Expected _STD","High","% achieving expected level","State Funded",NA,"Teacher assessment judgments in English reading, English writing, mathematics and science are reported for each pupil at the end of key stage 1 (typically aged 7). Teacher assessments are based on a broad range of evidence from across the curriculum and knowledge of how a pupil has performed over time and in a variety of contexts. Pupils are required to take tests in English and mathematics at the end of key stage 1, however teacher assessments is the only data used in school performance accountability at the end of KS1. New key stage 1 assessments were introduced in 2016 to assess the new, more challenging national curriculum and the expected standard was raised. As a result, figures from 2016 onwards are not comparable to earlier years","45200","Discontinued","DfE","The new expected standards were designed to be broadly similar but are not equivalent to an old level 2b. The performance descriptors, used by teachers in the standard setting process, were developed with an understanding of the performance of pupils working at level 2b. However, given the curricula differences, there is not a direct equivalence between the new expected standard and level 2b in previous years.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-1-and-phonics-screening-check-attainment",NA,"Academic Year",NA
"347","Key Stage 1 and Phonics","Key Stage 1 Maths Greater Depth","Pupils achieving Key Stage 1 Maths Greater Depth (%)","KS1M_Greater_Depth","High","% achieving expected level","State Funded",NA,"Teacher assessment judgments in English reading, English writing, mathematics and science are reported for each pupil at the end of key stage 1 (typically aged 7). Teacher assessments are based on a broad range of evidence from across the curriculum and knowledge of how a pupil has performed over time and in a variety of contexts. Pupils are required to take tests in English and mathematics at the end of key stage 1, however teacher assessments is the only data used in school performance accountability at the end of KS1. New key stage 1 assessments were introduced in 2016 to assess the new, more challenging national curriculum and the expected standard was raised. As a result, figures from 2016 onwards are not comparable to earlier years","45200","Discontinued","DfE","The new expected standards were designed to be broadly similar but are not equivalent to an old level 2b. The performance descriptors, used by teachers in the standard setting process, were developed with an understanding of the performance of pupils working at level 2b. However, given the curricula differences, there is not a direct equivalence between the new expected standard and level 2b in previous years.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-1-and-phonics-screening-check-attainment",NA,"Academic Year",NA
"347","Key Stage 1 and Phonics","Key Stage 1 Science Expected Standard","Pupils achieving Key Stage 1 Science Expected Standard (%)","KS1S_Expected_STD","High","% achieving expected level","State Funded",NA,"Teacher assessment judgments in English reading, English writing, mathematics and science are reported for each pupil at the end of key stage 1 (typically aged 7). Teacher assessments are based on a broad range of evidence from across the curriculum and knowledge of how a pupil has performed over time and in a variety of contexts. Pupils are required to take tests in English and mathematics at the end of key stage 1, however teacher assessments is the only data used in school performance accountability at the end of KS1. New key stage 1 assessments were introduced in 2016 to assess the new, more challenging national curriculum and the expected standard was raised. As a result, figures from 2016 onwards are not comparable to earlier years","45200","Discontinued","DfE","The new expected standards were designed to be broadly similar but are not equivalent to an old level 2b. The performance descriptors, used by teachers in the standard setting process, were developed with an understanding of the performance of pupils working at level 2b. However, given the curricula differences, there is not a direct equivalence between the new expected standard and level 2b in previous years.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-1-and-phonics-screening-check-attainment",NA,"Academic Year",NA
"242","Key Stage 1 and Phonics","Phonics Decoding - All pupils","Pupils achieving expected level in Phonics decoding - all pupils (%)","KS1P_all","High","% achieving expected level","State Funded","phonics_regional_and_local_authority_2012_to_2023_provisional.csv","Pupils take the phonics screening check at the end of year 1, typically aged 6. Pupils who do not meet the expected standard take the check again at the end of year 2, typically aged 7.

The phonics screening check is a statutory assessment for year 1 pupils (typically aged 6) that confirms whether they have met the expected standard in phonic decoding. All state-funded schools with a year 1 cohort must administer the check. Pupils who do not meet the standard in year 1 or were not checked, must take part in the check at the end of year 2 (typically aged 7). Teachers administer the check one-on-one with each pupil and record whether their response to each of the 40 words is correct. Each pupil is awarded a mark between 0 and 40. 

The threshold to determine whether a pupil had met the expected standard is 32. Since 2014, this threshold mark has not been communicated to schools until after the screening check has been completed, however its year-on-year stability means it is predictable.","45931","46297","DfE","Percentage of year 1 pupils meeting the required standard of phonic decoding.  See SfR guidance for further details.

The screening check was not administered in 2020 and 2021 due to the coronavirus (COVID-19) pandemic.","https://explore-education-statistics.service.gov.uk/find-statistics/phonics-screening-check-attainment",NA,"Academic Year",NA
"242","Key Stage 1 and Phonics","Phonics Decoding - FSM","Pupils achieving expected level in Phonics decoding - FSM (%)","KS1P_FSM","High","% achieving expected level","State Funded","phonics_regional_and_local_authority_2012_to_2023_provisional.csv","Pupils take the phonics screening check at the end of year 1, typically aged 6. Pupils who do not meet the expected standard take the check again at the end of year 2, typically aged 7.

The phonics screening check is a statutory assessment for year 1 pupils (typically aged 6) that confirms whether they have met the expected standard in phonic decoding. All state-funded schools with a year 1 cohort must administer the check. Pupils who do not meet the standard in year 1 or were not checked, must take part in the check at the end of year 2 (typically aged 7). Teachers administer the check one-on-one with each pupil and record whether their response to each of the 40 words is correct. Each pupil is awarded a mark between 0 and 40. 

The threshold to determine whether a pupil had met the expected standard is 32. Since 2014, this threshold mark has not been communicated to schools until after the screening check has been completed, however its year-on-year stability means it is predictable.","45931","46297","DfE","Percentage of year 1 pupils meeting the required standard of phonic decoding.  See SfR guidance for further details.

The screening check was not administered in 2020 and 2021 due to the coronavirus (COVID-19) pandemic.","https://explore-education-statistics.service.gov.uk/find-statistics/phonics-screening-check-attainment",NA,"Academic Year",NA
"242","Key Stage 1 and Phonics","Phonics Decoding - EHCPs","Pupils achieving expected level in Phonics decoding - EHCPs (%)","KS1P_EHCP","High","% achieving expected level","State Funded","phonics_regional_and_local_authority_2012_to_2023_provisional.csv","Pupils take the phonics screening check at the end of year 1, typically aged 6. Pupils who do not meet the expected standard take the check again at the end of year 2, typically aged 7.

The phonics screening check is a statutory assessment for year 1 pupils (typically aged 6) that confirms whether they have met the expected standard in phonic decoding. All state-funded schools with a year 1 cohort must administer the check. Pupils who do not meet the standard in year 1 or were not checked, must take part in the check at the end of year 2 (typically aged 7). Teachers administer the check one-on-one with each pupil and record whether their response to each of the 40 words is correct. Each pupil is awarded a mark between 0 and 40. 

The threshold to determine whether a pupil had met the expected standard is 32. Since 2014, this threshold mark has not been communicated to schools until after the screening check has been completed, however its year-on-year stability means it is predictable.","45931","46297","DfE","Percentage of year 1 pupils meeting the required standard of phonic decoding.  See SfR guidance for further details.

The screening check was not administered in 2020 and 2021 due to the coronavirus (COVID-19) pandemic.","https://explore-education-statistics.service.gov.uk/find-statistics/phonics-screening-check-attainment",NA,"Academic Year",NA
"242","Key Stage 1 and Phonics","Phonics Decoding - SEN Support","Pupils achieving expected level in Phonics decoding - SEN Support (%)","KS1P_SEND","High","% achieving expected level","State Funded","phonics_regional_and_local_authority_2012_to_2023_provisional.csv","Pupils take the phonics screening check at the end of year 1, typically aged 6. Pupils who do not meet the expected standard take the check again at the end of year 2, typically aged 7.

The phonics screening check is a statutory assessment for year 1 pupils (typically aged 6) that confirms whether they have met the expected standard in phonic decoding. All state-funded schools with a year 1 cohort must administer the check. Pupils who do not meet the standard in year 1 or were not checked, must take part in the check at the end of year 2 (typically aged 7). Teachers administer the check one-on-one with each pupil and record whether their response to each of the 40 words is correct. Each pupil is awarded a mark between 0 and 40. 

The threshold to determine whether a pupil had met the expected standard is 32. Since 2014, this threshold mark has not been communicated to schools until after the screening check has been completed, however its year-on-year stability means it is predictable.","45931","46297","DfE","Percentage of year 1 pupils meeting the required standard of phonic decoding.  See SfR guidance for further details.

The screening check was not administered in 2020 and 2021 due to the coronavirus (COVID-19) pandemic.","https://explore-education-statistics.service.gov.uk/find-statistics/phonics-screening-check-attainment",NA,"Academic Year",NA
"242","Key Stage 1 and Phonics","Phonics Decoding - No SEND","Pupils achieving expected level in Phonics decoding - No SEND (%)","KS1P_NonSEND","High","% achieving expected level","State Funded","phonics_regional_and_local_authority_2012_to_2023_provisional.csv","Pupils take the phonics screening check at the end of year 1, typically aged 6. Pupils who do not meet the expected standard take the check again at the end of year 2, typically aged 7.

The phonics screening check is a statutory assessment for year 1 pupils (typically aged 6) that confirms whether they have met the expected standard in phonic decoding. All state-funded schools with a year 1 cohort must administer the check. Pupils who do not meet the standard in year 1 or were not checked, must take part in the check at the end of year 2 (typically aged 7). Teachers administer the check one-on-one with each pupil and record whether their response to each of the 40 words is correct. Each pupil is awarded a mark between 0 and 40. 

The threshold to determine whether a pupil had met the expected standard is 32. Since 2014, this threshold mark has not been communicated to schools until after the screening check has been completed, however its year-on-year stability means it is predictable.","45931","46297","DfE","Percentage of year 1 pupils meeting the required standard of phonic decoding.  See SfR guidance for further details.

The screening check was not administered in 2020 and 2021 due to the coronavirus (COVID-19) pandemic.","https://explore-education-statistics.service.gov.uk/find-statistics/phonics-screening-check-attainment",NA,"Academic Year",NA
"346","Key Stage 2","KS2 % reading, writing and mathematics - Expected standard - All Pupils","Pupils meeting the expected standard in reading, writing and mathematics (%)","KS2RWM_Expected_STD","High","% achieving expected level","State Funded","ks2_regional_local_authority_and_pupil_characteristics","Key stage 2 - covers years 3 to 6 in primary schools. Pupils are normally 10 or 11 years old at the end of key stage 2.

Statutory assessment for pupils in primary schools is the responsibility of the Standards and Testing Agency (STA). Once pupils have sat the KS2 tests, schools are required to send test materials and attendance registers to STA for external marking and data capture. Teacher assessments (TA) must also be submitted by schools to STA.

Assessments were cancelled in 2020 and 2021 due to the coronavirus (COVID19) pandemic.","45901","45992","DfE","See official data release for further details.   For comparsion purposes, the England figures, since 2019, are derived from the pubished LA/Regional level table which excludes hospital schools.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",NA,"Academic Year",NA
"355","Key Stage 2","Progress between age 7 and age 11 - KS2 Reading","Progress between age 7 and age 11 - KS2 Reading","KS2R_Prog_VA","High","Average Score","State Funded","ks2_regional_local_authority_and_pupil_characteristics","NOTE: it will not be possible to calculate KS1-KS2 progress measures for academic years 2023/24 and 2024/25. This is because there is no relevant KS1 data required to calculate KS1-KS2 progress measures for these cohorts, as primary tests and assessments were cancelled in academic years 2019/20 and 2020/21 due to COVID-19 disruption.

The progress measures aim to capture the progress that pupils make from the end of Key Stage 1 to the end of primary school. They are a type of value-added measure, which means that pupils’ results are compared to the actual achievements of other pupils nationally with similar prior attainment.

Individual pupil-level progress scores are calculated in comparison to other pupils nationally. For all state-funded pupils nationally, the average progress score will be zero. 
","45261","TBC","DfE","A characteristic's progress score for English reading, English writing and maths is calculated as the average progress score for all pupils with that characteristic. This means that progress scores are presented as positive and negative numbers either side of zero.

A score of zero means pupils with this characteristic, on average, did about as well at KS2 as other pupils with similar prior attainment nationally.
A positive score means pupils with this characteristic, on average, did better at KS2 than other pupils with similar prior attainment nationally. 
A negative score means pupils with this characteristic, on average, did not make as much progress by the end of KS2 as other pupils with similar prior attainment nationally. A negative progress score does not mean pupils made no progress, rather it means pupils with that characteristic made less progress than other pupils across England with similar results at the end of KS1.

See publication for further details.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",2,"Academic Year",NA
"355","Key Stage 2","Progress between age 7 and age 11 - KS2 Writing","Progress between age 7 and age 11 - KS2 Writing","KS2W_Prog_VA","High","Average Score","State Funded","ks2_regional_local_authority_and_pupil_characteristics","NOTE: it will not be possible to calculate KS1-KS2 progress measures for academic years 2023/24 and 2024/25. This is because there is no relevant KS1 data required to calculate KS1-KS2 progress measures for these cohorts, as primary tests and assessments were cancelled in academic years 2019/20 and 2020/21 due to COVID-19 disruption.

The progress measures aim to capture the progress that pupils make from the end of Key Stage 1 to the end of primary school. They are a type of value-added measure, which means that pupils’ results are compared to the actual achievements of other pupils nationally with similar prior attainment.

Individual pupil-level progress scores are calculated in comparison to other pupils nationally. For all state-funded pupils nationally, the average progress score will be zero. 
","45261","TBC","DfE","A characteristic's progress score for English reading, English writing and maths is calculated as the average progress score for all pupils with that characteristic. This means that progress scores are presented as positive and negative numbers either side of zero.

A score of zero means pupils with this characteristic, on average, did about as well at KS2 as other pupils with similar prior attainment nationally.
A positive score means pupils with this characteristic, on average, did better at KS2 than other pupils with similar prior attainment nationally. 
A negative score means pupils with this characteristic, on average, did not make as much progress by the end of KS2 as other pupils with similar prior attainment nationally. A negative progress score does not mean pupils made no progress, rather it means pupils with that characteristic made less progress than other pupils across England with similar results at the end of KS1.

See publication for further details.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",2,"Academic Year",NA
"355","Key Stage 2","Progress between age 7 and age 11 - KS2 Maths","Progress between age 7 and age 11 - KS2 Maths","KS2M_Prog_VA","High","Average Score","State Funded","ks2_regional_local_authority_and_pupil_characteristics","NOTE: it will not be possible to calculate KS1-KS2 progress measures for academic years 2023/24 and 2024/25. This is because there is no relevant KS1 data required to calculate KS1-KS2 progress measures for these cohorts, as primary tests and assessments were cancelled in academic years 2019/20 and 2020/21 due to COVID-19 disruption.

The progress measures aim to capture the progress that pupils make from the end of Key Stage 1 to the end of primary school. They are a type of value-added measure, which means that pupils’ results are compared to the actual achievements of other pupils nationally with similar prior attainment.

Individual pupil-level progress scores are calculated in comparison to other pupils nationally. For all state-funded pupils nationally, the average progress score will be zero. 
","45261","TBC","DfE","A characteristic's progress score for English reading, English writing and maths is calculated as the average progress score for all pupils with that characteristic. This means that progress scores are presented as positive and negative numbers either side of zero.

A score of zero means pupils with this characteristic, on average, did about as well at KS2 as other pupils with similar prior attainment nationally.
A positive score means pupils with this characteristic, on average, did better at KS2 than other pupils with similar prior attainment nationally. 
A negative score means pupils with this characteristic, on average, did not make as much progress by the end of KS2 as other pupils with similar prior attainment nationally. A negative progress score does not mean pupils made no progress, rather it means pupils with that characteristic made less progress than other pupils across England with similar results at the end of KS1.

See publication for further details.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",2,"Academic Year",NA
"346","Key Stage 2","KS2 % reading, writing and mathematics - Higher standard  - All Pupils","Pupils meeting the higher standard in reading, writing and mathematics (%)","KS2RWM_Higher_STD","High","% achieving expected level","State Funded","ks2_regional_local_authority_and_pupil_characteristics","Key stage 2 - covers years 3 to 6 in primary schools. Pupils are normally 10 or 11 years old at the end of key stage 2.

Statutory assessment for pupils in primary schools is the responsibility of the Standards and Testing Agency (STA). Once pupils have sat the KS2 tests, schools are required to send test materials and attendance registers to STA for external marking and data capture. Teacher assessments (TA) must also be submitted by schools to STA.

Assessments were cancelled in 2020 and 2021 due to the coronavirus (COVID19) pandemic.","45901","45992","DfE","See official data release for further details.   For comparsion purposes, the England figures, since 2019, are derived from the pubished LA/Regional level table which excludes hospital schools.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",NA,"Academic Year",NA
"346","Key Stage 2","KS2 - Expected standard Reading - All Pupils","Pupils meeting the expected standard in reading (%)","KS2R_Expected_STD","High","% achieving expected level","State Funded","ks2_regional_local_authority_and_pupil_characteristics","Key stage 2 - covers years 3 to 6 in primary schools. Pupils are normally 10 or 11 years old at the end of key stage 2.

Statutory assessment for pupils in primary schools is the responsibility of the Standards and Testing Agency (STA). Once pupils have sat the KS2 tests, schools are required to send test materials and attendance registers to STA for external marking and data capture. Teacher assessments (TA) must also be submitted by schools to STA.

Assessments were cancelled in 2020 and 2021 due to the coronavirus (COVID19) pandemic.","45901","45992","DfE","See official data release for further details.   For comparsion purposes, the England figures, since 2019, are derived from the pubished LA/Regional level table which excludes hospital schools.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",NA,"Academic Year",NA
"346","Key Stage 2","KS2 - Higher standard Reading - All Pupils","Pupils meeting the higher standard in reading (%)","KS2R_Higher_STD","High","% achieving expected level","State Funded","ks2_regional_local_authority_and_pupil_characteristics","Key stage 2 - covers years 3 to 6 in primary schools. Pupils are normally 10 or 11 years old at the end of key stage 2.

Statutory assessment for pupils in primary schools is the responsibility of the Standards and Testing Agency (STA). Once pupils have sat the KS2 tests, schools are required to send test materials and attendance registers to STA for external marking and data capture. Teacher assessments (TA) must also be submitted by schools to STA.

Assessments were cancelled in 2020 and 2021 due to the coronavirus (COVID19) pandemic.","45901","45992","DfE","See official data release for further details.   For comparsion purposes, the England figures, since 2019, are derived from the pubished LA/Regional level table which excludes hospital schools.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",NA,"Academic Year",NA
"346","Key Stage 2","KS2 - Average Scaled Score Reading - All Pupils","Key Stage 2 - Average Scaled Score Reading - All Pupils","KS2R_AVG_Scaled_Score","High","Average Scaled Score","State Funded","ks2_regional_local_authority_and_pupil_characteristics","Key stage 2 - covers years 3 to 6 in primary schools. Pupils are normally 10 or 11 years old at the end of key stage 2.

Statutory assessment for pupils in primary schools is the responsibility of the Standards and Testing Agency (STA). Once pupils have sat the KS2 tests, schools are required to send test materials and attendance registers to STA for external marking and data capture. Teacher assessments (TA) must also be submitted by schools to STA.

Assessments were cancelled in 2020 and 2021 due to the coronavirus (COVID19) pandemic.","45901","45992","DfE","See official data release for further details.   For comparsion purposes, the England figures, since 2019, are derived from the pubished LA/Regional level table which excludes hospital schools.","https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment",NA,"Academic Year","N"
